c,replicate,sigma_meta,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.0,0,0.001,1.9913435802965327,1.9803706435836383,0.994489681830164,0.25316287587348996,0.2542393518046674,0.5013563274250681,0.5034881487576962,0.6010104876368368,0.8384546660530092
-1.0,1,0.001,1.9938753440336712,1.985432596767729,0.9957656594274032,0.2525341033325129,0.24799923822787515,0.5013894405518812,0.49238577155118884,0.5997697620874904,0.8425480119015418
-1.0,2,0.001,1.9971810208565552,1.991777772248601,0.9972945624099527,0.2554920796087525,0.24601473615434488,0.5088834451502832,0.4900066831178284,0.5959657701711492,0.8433029908972692
-1.0,3,0.001,2.0115665456764678,1.9920709701729893,0.9903082622121644,0.25314956113288123,0.24937884464655535,0.5042918918448451,0.4967803569956827,0.5977020357803825,0.8417584791531648
-1.0,4,0.001,2.052535663686522,1.9793414478519005,0.9643396131284956,0.25832267477983994,0.24503677888777714,0.511308777111704,0.4850114527006988,0.5967655399708746,0.8443428138446134
-1.0,5,0.001,1.9919646657312156,1.9875118938737135,0.9977646331111664,0.24956373159649056,0.2459209268862436,0.4960108848275321,0.48877076713885703,0.6046280739269895,0.843467186907278
-1.0,6,0.001,1.983144127486679,2.0134161775577035,1.0152646747412097,0.2441124979003387,0.2513126613176729,0.49150005241656286,0.5059969779220826,0.6048810627123881,0.8401435819928749
-1.0,7,0.001,1.999958996807254,1.9901230686872546,0.9950819351118191,0.2530411459171591,0.2502116490263453,0.503583021816796,0.49795197478160863,0.5986169804072224,0.8410436663512235
-1.0,8,0.001,2.015755138075147,2.0041071890315845,0.9942215456512813,0.2518161026816239,0.24451769145664298,0.5046664616981581,0.49003966329366505,0.6011683483802442,0.8433145930090442
-1.0,9,0.001,2.0006131098069075,2.0059707112521874,1.0026779797748087,0.2519267980760454,0.24918735822694835,0.505357778320091,0.4998625422175652,0.6000607348921956,0.8403117193439774
-1.0,10,0.001,2.0131874639271605,1.9921179527151303,0.9895342527263061,0.253081563323711,0.2479720703558251,0.5041683257983758,0.49398961312777856,0.6012185833968012,0.8417141307295904
-1.0,11,0.001,1.9937286191881922,1.9789894331061346,0.9926072255069203,0.25281065449978507,0.24879752923351928,0.5003096138317206,0.49236768133604925,0.604100469057346,0.8410907509107716
-1.0,12,0.001,1.990962054161304,1.9920237239900271,1.0005332446324149,0.2497037655352711,0.2474703789348234,0.4974158249159033,0.49296686582297006,0.6038673188627331,0.8423989598006284
-1.0,13,0.001,2.008283591489866,2.0069498358779345,0.9993358728729432,0.2525294007353456,0.2522507277047682,0.506813839360155,0.5062545565671741,0.5973906369915579,0.8391127941574249
