tauN,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.5,0,0.5,0.8246340904976154,0.29983243824287076,1.3088422215218007,0.4758878623575797,0.3383293365307754,0.743795036028823
-1.5,1,0.5,0.8347482052290895,0.30755673038638087,1.3029222662654514,0.4800519601599394,0.3373243102550755,0.7410796339952851
-1.5,2,0.5,0.8287355037758967,0.30284008471962914,1.3025350797401212,0.4759779593145746,0.3377226335801481,0.7422346592044773
-1.5,3,0.5,0.829087941040726,0.30418057525216896,1.298989600550754,0.47658081173647693,0.3390054452274183,0.7424472506393862
-1.5,4,0.5,0.838751143712796,0.3107737736946063,1.2864335745140036,0.4766489077910025,0.3401379642255555,0.740724487353387
-1.5,5,0.5,0.8265964104725547,0.30351310012247884,1.2883053100372188,0.47304528981695887,0.34256775691580926,0.7436553295232005
-1.5,6,0.5,0.8375761144906635,0.3035140694364914,1.3106027057478533,0.4749256261658135,0.336832895888014,0.7418524181218314
-1.5,7,0.5,0.8313398530288949,0.2989011177543909,1.2958285850118025,0.4659040596537554,0.3408037711728987,0.7475568727971804
-1.5,8,0.5,0.8271812458406439,0.2999850165573498,1.3028908154145236,0.4725055419230835,0.3387792602061197,0.7441720740206681
-1.5,9,0.5,0.8310715233047526,0.30880194127921007,1.2846237803206502,0.4773287329097752,0.3442151893682404,0.741129775889027
-1.5,10,0.5,0.836159787757135,0.3081169186767073,1.2870107420307604,0.4742512016776386,0.34156378600823045,0.7410195827159505
-1.5,11,0.5,0.8506229753996819,0.30696424832575014,1.2999558387726415,0.46911496449765794,0.3358556692819308,0.7427986019043028
-1.5,12,0.5,0.8292847548546776,0.30480761808839607,1.295962909491256,0.476337428441163,0.3420465412814791,0.741969161580469
-1.5,13,0.5,0.843859511277596,0.3035259346555339,1.3103545630673026,0.4713184933864076,0.33436902485659653,0.7432519280205655
-1.5,14,0.5,0.8432261566576571,0.3121937539119114,1.2979479553161533,0.4805487132403462,0.3370287360922116,0.7385464140081555
-1.5,15,0.5,0.8311392509837987,0.30814362990939514,1.28765651119587,0.4773967189814472,0.3418950917044588,0.7417374317266675
-1.5,16,0.5,0.8192421719991527,0.3015283906301388,1.2960464658893212,0.47701988300706066,0.34181730730690607,0.7438425611752025
-1.5,17,0.5,0.8314281744573544,0.3035955842086462,1.2847826125394277,0.469137731698344,0.3430913817236553,0.7452690538107621
-1.5,18,0.5,0.833428024758905,0.3075141492768811,1.2900442593300523,0.47599414844751,0.34141858141858145,0.7408208208208208
-1.5,19,0.5,0.8204220687057611,0.30184859498770555,1.313782318861324,0.48336504123246016,0.33858613260990983,0.7400336889387984
-1.4275,0,0.5,0.7919460502596367,0.30372045896561223,1.23924530156628,0.47526488911623826,0.36480549564661713,0.7427289480009615
-1.4275,1,0.5,0.7818184296061074,0.3028417910696647,1.2309375637013718,0.4768106281071746,0.3689867348569602,0.7420310748037803
-1.4275,2,0.5,0.7801257675275765,0.3072886907568369,1.2044531497479638,0.47442969694103476,0.3747736873868437,0.7429310001988467
-1.4275,3,0.5,0.7929453620111964,0.30613691521157754,1.2311878344710183,0.47533167321263414,0.3649233977701131,0.7420410117290354
-1.4275,4,0.5,0.7881902308027267,0.30460547289789036,1.247084041238304,0.48195043439948665,0.36278044871794873,0.7408546325878594
-1.4275,5,0.5,0.8094319780730374,0.31118056719828524,1.2227463782839194,0.47007645094509215,0.36327529487282356,0.7422828427853554
-1.4275,6,0.5,0.7864161646424346,0.2958844354199832,1.251685122588871,0.47093913181348723,0.3636761487964989,0.7459883370199075
-1.4275,7,0.5,0.7911455746243029,0.30316408563966224,1.250334095139779,0.4791234443511245,0.36432380800764147,0.7416981587199485
-1.4275,8,0.5,0.7815742721254335,0.29676761094567705,1.235603526146926,0.4691647609298847,0.36717998075072183,0.7480051069262688
-1.4275,9,0.5,0.7884104384750948,0.30658880328422417,1.2310408543067122,0.4787142887730884,0.36496643755777963,0.7409736873532105
-1.4275,10,0.5,0.7724545982407351,0.30058145283681237,1.226410033797965,0.4772268953699091,0.3712601267345793,0.7437564828851831
