tauN,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.5,0,0.001,0.7445698194561543,0.2439531331353155,1.5214658258025942,0.49849771702264106,0.3132256134051466,0.7605775015039101
-1.5,1,0.001,0.754244623539161,0.24869719466502074,1.5010072065667504,0.49492733497191216,0.3126127209330287,0.7612279931334585
-1.5,2,0.001,0.745156744393475,0.25175979900620343,1.508030284710951,0.5095054218198408,0.31296728032800064,0.7563092110500756
-1.5,3,0.001,0.7440883364955717,0.24763924669071927,1.5216344828370627,0.5064135514381026,0.31276706201829,0.7581633879562483
-1.5,4,0.001,0.7594838954791273,0.25110631137775463,1.4921505245251405,0.4933460952421042,0.31542074675583154,0.7583407026288287
-1.5,5,0.001,0.7386298802119059,0.2500327948432747,1.5105697940091003,0.5113413328114601,0.316329392907233,0.7566779796366541
-1.5,6,0.001,0.7503868612394994,0.24687759122045008,1.495269476613537,0.49194428324884115,0.3158883735806813,0.7615655514647031
-1.5,7,0.001,0.7464022413890785,0.25008315558629823,1.4959093347700967,0.5012065963442053,0.3174666560178899,0.7575526885167081
-1.5,8,0.001,0.7432755339420088,0.2511828459489927,1.4917728634348895,0.5041303476784272,0.31819458375125376,0.7588833499501495
-1.5,9,0.001,0.7541500176559055,0.2472420384173661,1.5183871242923022,0.4977910481041699,0.3113688910149087,0.7591314120574777
-1.5,10,0.001,0.7431158933094028,0.24622308954992783,1.4937026503682949,0.49492156573950047,0.319769995607555,0.761509796850583
-1.5,11,0.001,0.7509919590392854,0.24793227737298337,1.511433742747603,0.49898431724510955,0.31395904708788147,0.757892200176721
-1.5,12,0.001,0.751606293646801,0.25576664950320854,1.4583618129743146,0.49627087721427154,0.3218704804756548,0.7583240401465668
-1.5,13,0.001,0.7579908734604307,0.25423325713059236,1.48299780312108,0.4974035638236046,0.31355252606255013,0.7562250598563448
-1.5,14,0.001,0.7580365985722602,0.2582308805940873,1.4917519314441017,0.5081765387189546,0.31191222570532917,0.7534437455211402
-1.5,15,0.001,0.7545800994232178,0.24731616198583395,1.5204875000465232,0.49834488498487844,0.31106779121578615,0.7581241956241956
-1.5,16,0.001,0.7501296787219784,0.2480492671038599,1.5156534994306106,0.5011889948917817,0.3124005093919134,0.7558700546799614
-1.5,17,0.001,0.7467333978614862,0.2561359307872206,1.4850157601437686,0.5093730842191034,0.3143030058503127,0.7536387071187785
-1.5,18,0.001,0.7442166533529968,0.2521319444012453,1.4896643858007361,0.5046809640781791,0.31730113522403625,0.756451677236648
-1.5,19,0.001,0.7581663430718351,0.2513174450247253,1.5087621854872815,0.5001254158424937,0.31270630344004774,0.7562663447998391
-1.4275,0,0.001,0.7132677319170719,0.24675831708687246,1.4227887894597302,0.49222045460199004,0.34598534331687114,0.7622127591193958
-1.4275,1,0.001,0.7076095988240673,0.24602207006877205,1.424949103455084,0.4954270388039527,0.34469226764906097,0.7618172373836257
-1.4275,2,0.001,0.7132712927228613,0.24986875430831204,1.4320140627772564,0.5016542424582981,0.34306656574911365,0.7574406555006628
-1.4275,3,0.001,0.7164420048483612,0.24713223101634998,1.4455019759952492,0.49861695133559064,0.3375434669651065,0.7597374004243225
-1.4275,4,0.001,0.7143158824986864,0.24783998325603665,1.448416761559022,0.5025445950842498,0.33917311836539227,0.7590008820463475
-1.4275,5,0.001,0.7220922006222986,0.25328594871069976,1.4109456528821238,0.4949128490260701,0.34342505199168133,0.758801408225316
-1.4275,6,0.001,0.7133105241310025,0.24905973153350164,1.4344384606450804,0.5008489932835768,0.33845721624658853,0.7586509328655717
-1.4275,7,0.001,0.7144746156915432,0.24567695297519088,1.4244847212460037,0.48981875379393497,0.34568146587702214,0.7620063604524777
-1.4275,8,0.001,0.7074643518871716,0.25483807038857303,1.4187942862837777,0.5110685750178315,0.3445864480347239,0.7545982960426786
-1.4275,9,0.001,0.7069438136820816,0.2499101816641093,1.419203945620839,0.5016997235200705,0.34557027903438886,0.758203109388114
-1.4275,10,0.001,0.7294423324119166,0.25545718683405505,1.4234673815945904,0.49851092635359623,0.3409343715239155,0.754390204607701
-1.4275,11,0.001,0.7078024475338994,0.25223262764164744,1.4133055297034687,0.5036458529630939,0.34677709758732445,0.7560683008757548
-1.4275,12,0.001,0.7129534681744458,0.24980789686824814,1.4518496712774573,0.5087057278497416,0.3378167407229494,0.7571845397497902
-1.4275,13,0.001,0.7090754438501736,0.2479581872913926,1.4238451784451354,0.497907623924775,0.3443684778697373,0.7589739485373564
-1.4275,14,0.001,0.7173674312051055,0.25452350833029574,1.4103601249793376,0.5003988073669055,0.3445954069977155,0.7574354265639347
-1.4275,15,0.001,0.7271350283895546,0.24870323817988818,1.4452945076987553,0.4943365539470569,0.3364994833479056,0.7587567436991707
-1.4275,16,0.001,0.7172614545984968,0.2429338696438278,1.457433026854441,0.4936273135695813,0.33583250249252244,0.7618856569709127
-1.4275,17,0.001,0.7103534252429313,0.24826910372200672,1.4421054815907046,0.5040170465352167,0.3378975265017668,0.7585272553394964
-1.4275,18,0.001,0.7095891621248497,0.2491490030115922,1.4376924776949975,0.5047986448698754,0.34099831744251263,0.7582874031472162
-1.4275,19,0.001,0.707508632349584,0.25152519578951016,1.4134881405120818,0.5025067752286925,0.34814755605291553,0.7574762800752632
-1.355,0,0.001,0.6675562727521681,0.24725928627669552,1.3467071851958825,0.4988131653117629,0.37598685528794135,0.760849602746836
-1.355,1,0.001,0.6777791002592295,0.2513220713566156,1.3543073768296627,0.5021803343717672,0.36952251132582287,0.757113780580277
-1.355,2,0.001,0.6730784035060687,0.2508422702846612,1.357158060849391,0.5057844782201812,0.3711905810740459,0.7568420632066802
-1.355,3,0.001,0.684718034672723,0.2503164798007863,1.3489650014281083,0.49314922848986026,0.36408080808080806,0.7615049504950495
-1.355,4,0.001,0.6772594730666005,0.25695714930527547,1.3412904145072198,0.5088952979006524,0.37250892176911665,0.753960336778261
-1.355,5,0.001,0.6799214615154547,0.2516708475465429,1.3560061659211944,0.5019215311943319,0.3687099358974359,0.7573482428115016
-1.355,6,0.001,0.6763325502726147,0.24720795491680253,1.3613545898578419,0.4975920262002896,0.36781424496846504,0.7616999243238938
-1.355,7,0.001,0.6737932851771447,0.2501308203076863,1.3542060688764122,0.5027189826990486,0.3718482350116065,0.7572159590629247
-1.355,8,0.001,0.6714085725906601,0.25383716932414163,1.3334299555616589,0.5041253556024314,0.3785306220286844,0.7559373623292883
