tauY,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.05,0,0.001,0.2496369908482714,0.02379342054768871,0.4967686907573883,0.047348056607922,0.7592260123678436,0.9769400441146983
0.05,1,0.001,0.2536207731902348,0.023741032535437585,0.516221686794134,0.04832268156711813,0.7526984888462461,0.9767870007204035
0.05,2,0.001,0.25598581175643276,0.0244851215912974,0.5100239722911197,0.04878394974447542,0.7536040892935586,0.9763612324211707
0.05,3,0.001,0.2482202363652094,0.026148758178741866,0.49734605266995213,0.05239291466665115,0.760507723625913,0.9746662925401852
0.05,4,0.001,0.25439790448134475,0.025183307721095574,0.5021122125511572,0.049704994170355676,0.7557172557172557,0.9758283976308628
0.05,5,0.001,0.2553310981049909,0.02435690985775255,0.5124744650875015,0.04888669826424187,0.7528229358532874,0.9764644769439783
0.05,6,0.001,0.2548594689493329,0.025338943775890348,0.5028145677779124,0.04999143298519565,0.7558399107071674,0.9755960504134221
0.05,7,0.001,0.2508718159128911,0.025429813071928296,0.49729377573671374,0.050408563085496606,0.7589524531917442,0.9755120035269127
0.05,8,0.001,0.24259975755090785,0.024906789406079294,0.48637014793379574,0.04993376320851707,0.7652257753495099,0.9761430619722797
0.05,9,0.001,0.25171325831149655,0.022604455488928085,0.5028185609330788,0.04515431509592251,0.7556870427377763,0.977988554048105
0.05,10,0.001,0.2542730810985142,0.02464710228611366,0.5004135262169672,0.048505894972208606,0.7566040738383195,0.9761904761904762
0.05,11,0.001,0.2535694400137537,0.026030033315648956,0.49805499645062057,0.05112756549027313,0.7557457409193186,0.9751911436763301
0.05,12,0.001,0.2500445638265329,0.026394986741545536,0.49150788374014115,0.05188412767768197,0.7593164587428296,0.9747517051573531
0.05,13,0.001,0.2487848764779283,0.024107804772402774,0.5024746499973411,0.048690904916368606,0.7583243394491745,0.9765040227354601
0.05,14,0.001,0.25413950183913403,0.02526990027377694,0.5026856851059998,0.0499836390634169,0.7564855897989368,0.9758235600208142
0.05,15,0.001,0.2514929784242111,0.026142237766846835,0.4966474579221959,0.05162560009688203,0.759933049057506,0.9749468021038262
0.05,16,0.001,0.2516992831919582,0.026257407080878887,0.49853286775513306,0.05200722181580976,0.7569244316362472,0.9746562200191877
0.05,17,0.001,0.25387672835132047,0.024734995515243982,0.503841012361859,0.049088804878250465,0.7563913372950983,0.976130300477394
0.05,18,0.001,0.25212378623115067,0.025237133715415118,0.513733383001464,0.051423779861031735,0.7551354807769163,0.9754183681639843
0.05,19,0.001,0.24434740482761602,0.025611151054024176,0.5047502472148264,0.052905144767528695,0.7603588382009816,0.9751014239121788
0.1225,0,0.001,0.2465480441151106,0.06003752430750087,0.5060285973761445,0.12322427591871879,0.7611518241198024,0.9412662702876426
0.1225,1,0.001,0.2612288831316248,0.06104782090511374,0.5182990332018222,0.12112376768940804,0.7484669953108092,0.9414747095692443
0.1225,2,0.001,0.24650392817466396,0.06029328868758791,0.4987188109129102,0.12198344043830633,0.7602222311043607,0.9411953084344101
0.1225,3,0.001,0.24563932869680638,0.059460346279886674,0.5011526703709902,0.12131083193168,0.759603817467319,0.9420237810230628
0.1225,4,0.001,0.2497658114195079,0.06079488649656871,0.49932371704256917,0.121539167150708,0.7569834644405201,0.9411178440440121
0.1225,5,0.001,0.24551623560503918,0.06027548452601113,0.4881812836538913,0.11985098800596151,0.7635121639435944,0.9418031801978611
0.1225,6,0.001,0.24781524172420755,0.06287182203806545,0.4909407282674827,0.12455383246048453,0.761199407502302,0.9395307941329284
0.1225,7,0.001,0.24997975141571332,0.058130899754237575,0.5087932595018091,0.11831602278276493,0.7581362120971583,0.9427108530882116
0.1225,8,0.001,0.2530748517955138,0.06171567255492647,0.5117099943722279,0.12478729605767767,0.7544133541491533,0.9402054438626644
0.1225,9,0.001,0.25486384190246747,0.06326994267754822,0.4902373483778959,0.12170141004989071,0.7585490572067753,0.9400432553668696
0.1225,10,0.001,0.2522088907369792,0.05847125711452751,0.5017893039087339,0.11633313687091784,0.7582465622764486,0.9432321442950318
0.1225,11,0.001,0.24678483344481603,0.06382381715838924,0.49409472044279446,0.12778342435503823,0.7612732095490716,0.9388884465323672
0.1225,12,0.001,0.2441727191675696,0.06092759453355827,0.4907772448633945,0.12246198954279096,0.7632801858825414,0.9410496046010065
0.1225,13,0.001,0.2583720067600914,0.06176634757627288,0.5072287324380442,0.12125797442728146,0.7501404832624228,0.9406043211352946
0.1225,14,0.001,0.2495957167414392,0.06073453387921434,0.4899637012253151,0.11922366857954024,0.7607966791729863,0.9415537561132046
0.1225,15,0.001,0.25023811260294554,0.06245873163996999,0.4962527313041474,0.12386329103795769,0.7573352573352573,0.9395257863643621
0.1225,16,0.001,0.25108309170351106,0.061346612522649765,0.4969085461173312,0.1214086373998034,0.7600734062076119,0.9413652041389268
0.1225,17,0.001,0.24717089590254643,0.05907579612290159,0.5025234303233987,0.12010706846517687,0.7583941020915137,0.9422969411388866
